customer_id,email,first_name,last_name,signup_date,customer_segment,acquisition_channel,country,is_active
1,customer1@email.com,FirstName1,LastName1,2023-10-17,Premium,Organic,AU,True
2,customer2@email.com,FirstName2,LastName2,2022-10-09,Premium,Paid Search,CA,False
3,customer3@email.com,FirstName3,LastName3,2022-04-15,Basic,Referral,US,True
4,customer4@email.com,FirstName4,LastName4,2023-08-28,Standard,Organic,US,True
5,customer5@email.com,FirstName5,LastName5,2022-04-06,Premium,Paid Search,FR,True
6,customer6@email.com,FirstName6,LastName6,2023-09-09,Premium,Referral,CA,True
7,customer7@email.com,FirstName7,LastName7,2023-10-28,Basic,Referral,DE,True
8,customer8@email.com,FirstName8,LastName8,2022-08-14,Standard,Referral,UK,False
9,customer9@email.com,FirstName9,LastName9,2022-01-07,Premium,Email,UK,True
10,customer10@email.com,FirstName10,LastName10,2022-10-12,Premium,Paid Search,UK,True
11,customer11@email.com,FirstName11,LastName11,2022-04-15,Premium,Email,US,True
12,customer12@email.com,FirstName12,LastName12,2023-01-03,Standard,Referral,UK,False
13,customer13@email.com,FirstName13,LastName13,2022-02-14,Basic,Email,FR,False
14,customer14@email.com,FirstName14,LastName14,2022-05-08,Standard,Organic,FR,True
15,customer15@email.com,FirstName15,LastName15,2022-10-28,Basic,Referral,UK,True
16,customer16@email.com,FirstName16,LastName16,2023-08-15,Premium,Organic,US,True
17,customer17@email.com,FirstName17,LastName17,2023-11-09,Premium,Social Media,US,True
18,customer18@email.com,FirstName18,LastName18,2022-08-27,Premium,Email,UK,True
19,customer19@email.com,FirstName19,LastName19,2023-04-10,Basic,Social Media,CA,True
20,customer20@email.com,FirstName20,LastName20,2023-01-15,Standard,Paid Search,AU,True
21,customer21@email.com,FirstName21,LastName21,2022-10-01,Basic,Organic,FR,True
22,customer22@email.com,FirstName22,LastName22,2023-10-13,Premium,Referral,AU,True
23,customer23@email.com,FirstName23,LastName23,2022-09-08,Premium,Email,DE,True
24,customer24@email.com,FirstName24,LastName24,2022-10-04,Basic,Referral,CA,True
25,customer25@email.com,FirstName25,LastName25,2023-12-03,Standard,Organic,CA,True
26,customer26@email.com,FirstName26,LastName26,2022-02-02,Standard,Email,UK,True
27,customer27@email.com,FirstName27,LastName27,2022-03-09,Premium,Referral,AU,True
28,customer28@email.com,FirstName28,LastName28,2022-11-19,Premium,Email,DE,True
29,customer29@email.com,FirstName29,LastName29,2023-10-21,Standard,Paid Search,UK,True
30,customer30@email.com,FirstName30,LastName30,2022-05-23,Premium,Referral,FR,True
31,customer31@email.com,FirstName31,LastName31,2022-09-27,Basic,Referral,DE,True
32,customer32@email.com,FirstName32,LastName32,2023-08-21,Standard,Social Media,CA,True
33,customer33@email.com,FirstName33,LastName33,2022-05-22,Basic,Email,US,True
34,customer34@email.com,FirstName34,LastName34,2022-02-18,Premium,Paid Search,AU,False
35,customer35@email.com,FirstName35,LastName35,2022-06-13,Basic,Email,FR,False
36,customer36@email.com,FirstName36,LastName36,2022-03-07,Standard,Email,FR,False
37,customer37@email.com,FirstName37,LastName37,2023-04-25,Basic,Social Media,FR,True
38,customer38@email.com,FirstName38,LastName38,2022-01-12,Basic,Organic,AU,True
39,customer39@email.com,FirstName39,LastName39,2023-07-04,Standard,Social Media,US,True
40,customer40@email.com,FirstName40,LastName40,2022-10-28,Standard,Paid Search,DE,True
41,customer41@email.com,FirstName41,LastName41,2022-01-04,Basic,Social Media,FR,True
42,customer42@email.com,FirstName42,LastName42,2022-07-02,Basic,Organic,AU,True
43,customer43@email.com,FirstName43,LastName43,2022-11-02,Basic,Referral,FR,True
44,customer44@email.com,FirstName44,LastName44,2022-07-23,Premium,Social Media,CA,False
45,customer45@email.com,FirstName45,LastName45,2023-07-07,Basic,Organic,FR,True
46,customer46@email.com,FirstName46,LastName46,2022-11-28,Standard,Organic,US,True
47,customer47@email.com,FirstName47,LastName47,2023-01-07,Standard,Paid Search,US,True
48,customer48@email.com,FirstName48,LastName48,2022-09-04,Basic,Organic,US,True
49,customer49@email.com,FirstName49,LastName49,2023-05-13,Premium,Referral,CA,True
50,customer50@email.com,FirstName50,LastName50,2022-05-12,Basic,Email,FR,True
